locality,Year,house price
ST LEONARDS,2009,285000.00 
STANHOPE,2009,133000.00 
STAWELL,2009,145000.00 
STRATFORD,2009,230000.00 
STRATHDALE,2009,297500.00 
STRATHFIELDSAYE,2009,305000.00 
STRATHMERTON,2009,150000.00 
STRATHMORE,2009,750000.00 
STRATHMORE HEIGHTS,2009,466500.00 
STRATHTULLOH,2009,-
STUDFIELD,2009,430000.00 
SUNBURY,2009,297000.00 
SUNDERLAND BAY,2009,257000.00 
SUNNYCLIFFS,2009,202500.00 
SUNSET STRIP,2009,250000.00 
SUNSHINE,2009,390000.00 
SUNSHINE NORTH,2009,360000.00 
SUNSHINE WEST,2009,344500.00 
SURF BEACH,2009,289000.00 
SURREY HILLS,2009,1012000.00 
SWAN HILL,2009,235500.00 
SYDENHAM,2009,370000.00 
SYNDAL,2009,760000.00 
TALLANGATTA,2009,181000.00 
TARNEIT,2009,325000.00 
TATURA,2009,194500.00 
TAWONGA,2009,235000.00 
TAWONGA SOUTH,2009,245000.00 
TAYLORS HILL,2009,375500.00 
TAYLORS LAKES,2009,420000.00 
TECOMA,2009,375000.00 
TEMPLESTOWE,2009,727500.00 
TEMPLESTOWE LOWER,2009,630000.00 
TERANG,2009,153500.00 
THE BASIN,2009,370000.00 
THE HONEYSUCKLES,2009,154000.00 
THE PATCH,2009,390000.00 
THOMASTOWN,2009,354500.00 
THOMSON (GREATER GEELONG),2009,215000.00 
THORNBURY,2009,602500.00 
THORNHILL PARK,2009,-
TIMBOON,2009,202500.00 
TONGALA,2009,158500.00 
TOONGABBIE,2009,221000.00 
TOORA,2009,155000.00 
TOORADIN,2009,317000.00 
TOORAK,2009,2710000.00 
TOOTGAROOK,2009,315000.00 
TORQUAY,2009,475000.00 
TRAFALGAR,2009,216000.00 
TRARALGON,2009,230000.00 
TRARALGON EAST,2009,380000.00 
TRAVANCORE,2009,640000.00 
TRENTHAM,2009,237500.00 
TRUGANINA,2009,325000.00 
TULLAMARINE,2009,380000.00 
TYABB,2009,292500.00 
TYLDEN,2009,215000.00 
UPPER FERNTREE GULLY,2009,350000.00 
UPWEY,2009,380500.00 
VENTNOR,2009,383500.00 
VENUS BAY,2009,238000.00 
VERMONT,2009,520000.00 
VERMONT SOUTH,2009,590000.00 
VIEWBANK,2009,524500.00 
VIOLET TOWN,2009,180000.00 
WAHGUNYAH,2009,190000.00 
WALKERVILLE,2009,176000.00 
WALLAN,2009,288000.00 
WALLAN EAST,2009,230000.00 
WANDANA HEIGHTS,2009,460000.00 
WANDIN NORTH,2009,335000.00 
WANGARATTA,2009,228500.00 
WANTIRNA,2009,455000.00 
WANTIRNA SOUTH,2009,535000.00 
WARBURTON,2009,259000.00 
WARNEET,2009,275000.00 
WARRACKNABEAL,2009,90000.00 
WARRAGUL,2009,247000.00 
WARRANDYTE,2009,575000.00 
WARRANWOOD,2009,553000.00 
WARRNAMBOOL,2009,295000.00 
WATERWAYS,2009,535000.00 
WATSONIA,2009,431000.00 
WATSONIA NORTH,2009,435000.00 
WATTLE GLEN,2009,450000.00 
WAURN PONDS,2009,375000.00 
WEDDERBURN,2009,70000.00 
WEIR VIEWS,2009,-
WENDOUREE,2009,205000.00 
WENDOUREE WEST,2009,163500.00 
WERRIBEE,2009,263500.00 
WERRIBEE SOUTH,2009,420000.00 
WESBURN,2009,278000.00 
WEST FOOTSCRAY,2009,478000.00 
WEST MELBOURNE,2009,762000.00 
WEST WODONGA,2009,265000.00 
WESTALL,2009,415000.00 
WESTGARTH,2009,765000.00 
WESTMEADOWS,2009,346000.00 
WHEELERS HILL,2009,615000.00 
WHITE HILLS,2009,220000.00 
WHITTINGTON,2009,207500.00 
WHITTLESEA,2009,330000.00 
WILLAURA,2009,99000.00 
WILLIAMS LANDING,2009,355000.00 
WILLIAMSTOWN,2009,800000.00 
WILLIAMSTOWN NORTH,2009,500000.00 
WIMBLEDON HEIGHTS,2009,260000.00 
WINCHELSEA,2009,206000.00 
WINDSOR,2009,781500.00 
WINTER VALLEY,2009,306000.00 
WODONGA,2009,240000.00 
WOLLERT,2009,403000.00 
WONGA PARK,2009,667000.00 
WONTHAGGI,2009,250000.00 
